bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.2,False,2,10-11,True,False,True,2,True,2-10,1.8368,-1.6738,1.8998,-1.7459,0.163,0.1539,0.3169
1.2,False,2,Any,True,False,False,4,True,2-10,1.6042,-1.4388,1.6672,-1.5157,0.1654,0.1515,0.31689999999999996
1.2,False,6,Any,False,False,True,3,False,2-10,2.09,-1.9298,2.11,-1.9534,0.1602,0.1566,0.31679999999999997
1.2,False,2,Any,False,False,True,4,True,2-10,1.7083,-1.5473,1.7713,-1.6156,0.161,0.1557,0.3167
1.2,True,6,10-11,False,False,True,3,False,2-10,2.1505,-1.9951,2.1705,-2.01,0.1554,0.1605,0.3159
1.2,False,2,9-11,True,False,False,2,True,2-10,1.7348,-1.5739,1.7978,-1.6429,0.161,0.1549,0.3159
1.2,False,2,9-11,True,False,True,4,True,2-10,1.6666,-1.4974,1.7296,-1.5829,0.1692,0.1467,0.31589999999999996
1.2,True,6,10-11,False,False,True,2,False,2-10,2.2449,-2.0846,2.2649,-2.1095,0.1603,0.1555,0.31579999999999997
1.2,True,2,10-11,True,False,True,3,True,2-10,1.6593,-1.4965,1.7223,-1.5693,0.1628,0.153,0.31579999999999997
1.2,True,6,Any,False,False,False,2,False,2-10,2.0471,-1.8851,2.0671,-1.9138,0.1621,0.1534,0.3155
1.5,True,2,Any,False,False,False,3,True,2-10,0.2496,-0.0792,0.3126,-0.1677,0.1704,0.1449,0.3153
1.5,True,2,10-11,True,False,True,2,True,2-10,0.3582,-0.1936,0.4212,-0.2707,0.1646,0.1506,0.31520000000000004
1.5,False,2,9-11,True,False,False,3,True,2-10,0.3385,-0.1759,0.4015,-0.2491,0.1626,0.1524,0.315
1.5,True,2,9-11,False,False,False,4,True,2-10,0.3565,-0.1908,0.4195,-0.2702,0.1657,0.1493,0.31499999999999995
1.2,True,6,Any,False,False,True,3,False,2-10,1.9504,-1.7845,1.9704,-1.8214,0.1659,0.149,0.31489999999999996
1.5,False,2,Any,True,False,False,2,True,2-10,0.2569,-0.0964,0.3199,-0.1655,0.1605,0.1543,0.31479999999999997
