blackjack_payout,decks,count,policy,count_normalization,initial_count,initial_count_per_deck,count_minimum,count_maximum,factor,bias,continuous_betting_count,spread_edge,spread_stddev,kelly_growth_at_1,kelly_growth_stddev_at_1,empirical_optimum_multiplier,empirical_optimum_growth,mean_total_wager_fraction,max_total_wager_fraction,mean_abs_fx,max_abs_fx,result_file
"1.5","6","hiopt1","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.009019477,5.286367163612813,1.0000077303364256,5.096801498888306e-06,0.75,1.000008582610111,0.001745136012462345,0.35215440909090906,0.001617821199465189,0.35215440909090917,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt1_d6/basic/results.json"
"1.5","6","hiopt1","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0138295795,5.386341810680361,1.00001313444043,5.599678588314785e-06,0.8500000000000001,1.0000132704465787,0.0018056430776918837,0.3580635,0.0016742613747260618,0.35806350000000003,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt1_d6/full_deviations/results.json"
"1.5","6","hiopt2","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0097830028,6.392135462748588,0.9999778393961744,1.1727774866908427e-05,0.5,1.0000079929666956,0.004827614246064039,0.6131202253012048,0.004478944702574393,0.6131202253012047,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt2_d6/basic/results.json"
"1.5","6","hiopt2","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0151116994,6.504418218895732,0.9999878356570298,1.250078681476725e-05,0.5,1.0000143625808735,0.004951705131195874,0.7681044339805826,0.004605210894733976,0.7681044339805826,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt2_d6/full_deviations/results.json"
"1.5","6","omega2","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0099802855,6.483183057145438,0.9999695926483629,1.2879141378745396e-05,0.5,1.000007314139829,0.005316722448865909,0.6935907867924529,0.004930155055622941,0.6528154405063293,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/omega2_d6/basic/results.json"
"1.5","6","omega2","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.014717326,6.594522320586455,0.9999788847299154,1.3696623938783654e-05,0.5,1.0000134191912442,0.005447976553488065,0.8034442398058252,0.005062203043260417,0.8034442398058251,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/omega2_d6/full_deviations/results.json"
"1.5","6","zen","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0111979189,6.490560726662049,0.9999735561371232,1.2811758167518614e-05,0.5,1.0000094629377387,0.005321880495739507,0.6476089545454545,0.004940857687832106,0.6476089545454545,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/zen_d6/basic/results.json"
"1.5","6","zen","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0156988296,6.577332661512678,0.9999824959881245,1.3388155946754783e-05,0.5,1.0000151022269559,0.005434863592869501,0.8034442398058254,0.005056507030870359,0.8034442398058257,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/zen_d6/full_deviations/results.json"
"1.2","1","hilo","basic","true_count",0,0,-5,5,0.005,-0.0155422,true,0.010055134350666427,5.074059413595129,0.9999996592920971,1.3723310293989424e-05,0.5,1.000022987019483,0.004568657788126093,0.6156223333333334,0.004186580578807548,0.5722889999999999,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj6-5/hilo_d1/basic/results.json"
"1.2","1","hilo","full_deviations","true_count",0,0,-5,5,0.005,-0.0155422,true,0.03556155958240571,5.454439653920153,1.0000694785810134,1.5426460524526114e-05,0.75,1.0000742091303023,0.0049753472360697885,0.9832046000000001,0.0045278130185336515,0.9832046000000003,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj6-5/hilo_d1/full_deviations/results.json"
